manga_id,title,genres,authors
1,Berserk,Ação,Kentaro Miura
2,One Piece,Ação,Eiichiro Oda
3,Fullmetal Alchemist,Ação,Hiromu Arakawa
4,Chainsaw Man,Ação,Tatsuki Fujimoto
5,Jujutsu Kaisen,Ação,Gege Akutami
6,Grand Blue,Comédia,Keji Inoue
7,Azumanga Daioh,Comédia,Kiyohiko Azuma
8,Maid Dragon,Comédia,Cool-kyou Shinja
9,Spy x Family,Comédia,Tatsuya Endou
10,Rent a Girlfriend,Comédia,Reiji Miyajima
11,Wotakoi,Romance,Fujita
12,Horimiya,Romance,Daisuke Hagiwara
13,Love is War,Romance,Aka Akasaka
14,Teasing Master Takagi-san,Romance,Souichirou Yamamoto
15,A Silent Voice,Romance,Yoshitoki Ooima
